Modified iata,Modified name,Modified city,Modified state,Modified country,Modified latitude,Modified longitude
Modified IKK,Modified Greater Kankakee,Modified Kankakee,Modified IL,Modified USA,Modified 41.07140417,Modified -87.84626861
Modified IKV,Modified Ankeny Regional,Modified Ankeny,Modified IA,Modified USA,Modified 41.69128556,Modified -93.56630333
Modified ILE,Modified Killeen Municipal,Modified Killeen,Modified TX,Modified USA,Modified 31.08583333,Modified -97.6865
Modified ILG,Modified New Castle County,Modified Wilmington,Modified DE,Modified USA,Modified 39.67872222,Modified -75.60652778
Modified ILI,Modified Iliamna,Modified Iliamna,Modified AK,Modified USA,Modified 59.75380028,Modified -154.9109597
Modified ILM,Modified Wilmington International,Modified Wilmington,Modified NC,Modified USA,Modified 34.27061111,Modified -77.90255556
Modified IML,Modified Imperial Municipal,Modified Imperial,Modified NE,Modified USA,Modified 40.50930556,Modified -101.6205278
Modified IMM,Modified Immokalee,Modified Immokalee,Modified FL,Modified USA,Modified 26.43316667,Modified -81.40102778
Modified IMS,Modified Madison Municipal,Modified Madison,Modified IN,Modified USA,Modified 38.75888889,Modified -85.46552778
Modified IMT,Modified Ford,Modified Iron Mountain/Kingsford,Modified MI,Modified USA,Modified 45.81835417,Modified -88.1145425
Modified IN03,Modified Indianapolis Downtown,Modified Indianapolis,Modified IN,Modified USA,Modified 39.76587639,Modified -86.148875
Modified IND,Modified Indianapolis International,Modified Indianapolis,Modified IN,Modified USA,Modified 39.71732917,Modified -86.29438417
Modified INK,Modified Winkler County,Modified Wink,Modified TX,Modified USA,Modified 31.77962833,Modified -103.2013619
Modified INL,Modified Falls International,Modified International Falls,Modified MN,Modified USA,Modified 48.56618722,Modified -93.40306667
Modified INT,Modified Smith Reynolds,Modified Winston-Salem,Modified NC,Modified USA,Modified 36.13372222,Modified -80.222
Modified INW,Modified Winslow-Lindbergh Regional,Modified Winslow,Modified AZ,Modified USA,Modified 35.02191667,Modified -110.7225278
Modified IOB,Modified Mt Sterling-Montgomery County,Modified Mount Sterling,Modified KY,Modified USA,Modified 38.05813889,Modified -83.97958333
Modified IOW,Modified Iowa City Municipal,Modified Iowa City,Modified IA,Modified USA,Modified 41.63924389,Modified -91.54650333
Modified IPJ,Modified Lincoln County,Modified Lincolnton,Modified NC,Modified USA,Modified 35.48332889,Modified -81.16125833
Modified IPL,Modified Imperial County,Modified Imperial,Modified CA,Modified USA,Modified 32.83422028,Modified -115.5787456
Modified IPT,Modified Williamsport-Lycoming Cty,Modified Williamsport,Modified PA,Modified USA,Modified 41.24183583,Modified -76.92109556
Modified IRK,Modified Kirksville Regional,Modified Kirksville,Modified MO,Modified USA,Modified 40.09364444,Modified -92.54496917
Modified IRS,Modified Kirsch Municipal,Modified Sturgis,Modified MI,Modified USA,Modified 41.8128725,Modified -85.43906111
Modified ISM,Modified Kissimmee Municipal,Modified Orlando,Modified FL,Modified USA,Modified 28.28980556,Modified -81.43708333
Modified ISN,Modified Sloulin Field International,Modified Williston,Modified ND,Modified USA,Modified 48.17793861,Modified -103.6423467
Modified ISO,Modified Kinston Regional Jetport At Stallin,Modified Kinston,Modified NC,Modified USA,Modified 35.32807944,Modified -77.61552611
Modified ISP,Modified Long Island - MacArthur,Modified Islip,Modified NY,Modified USA,Modified 40.7952425,Modified -73.10021194
Modified ISQ,Modified Schoolcraft County,Modified Manistique,Modified MI,Modified USA,Modified 45.97464056,Modified -86.17183056
Modified ISW,Modified Alexander,Modified Wisconsin Rapids,Modified WI,Modified USA,Modified 44.36033833,Modified -89.83897056
Modified ISZ,Modified Cincinnati-Blue Ash,Modified Cincinnati,Modified OH,Modified USA,Modified 39.24669444,Modified -84.38897222
Modified ITH,Modified Tompkins Cty,Modified Ithaca,Modified NY,Modified USA,Modified 42.49102778,Modified -76.45844444
Modified ITO,Modified Hilo International,Modified Hilo,Modified HI,Modified USA,Modified 19.72026306,Modified -155.0484703
Modified ITR,Modified Kit Carson County,Modified Burlington,Modified CO,Modified USA,Modified 39.2425,Modified -102.2853889
Modified IWA,Modified Williams Gateway,Modified Phoenix,Modified AZ,Modified USA,Modified 33.30783333,Modified -111.6554722
Modified IWD,Modified Gogebic County,Modified Ironwood,Modified MI,Modified USA,Modified 46.52747472,Modified -90.13139667
Modified IWH,Modified Wabash Municipal,Modified Wabash,Modified IN,Modified USA,Modified 40.76195972,Modified -85.79873417
Modified IWI,Modified Wiscasset,Modified Wiscasset,Modified ME,Modified USA,Modified 43.96141667,Modified -69.71255556
Modified IWK,Modified Wales,Modified Wales,Modified AK,Modified USA,Modified 65.62394028,Modified -168.0991719
Modified IWS,Modified West Houston,Modified Houston,Modified TX,Modified USA,Modified 29.81819444,Modified -95.67261111
Modified IXD,Modified New Century Aircenter,Modified Olathe,Modified KS,Modified USA,Modified 38.83090472,Modified -94.89030333
Modified IYK,Modified Inyokern,Modified Inyokern,Modified CA,Modified USA,Modified 35.65884306,Modified -117.8295122
Modified IYS,Modified Wasilla,Modified Wasilla,Modified AK,Modified USA,Modified 61.57196083,Modified -149.5405556
Modified IZA,Modified Santa Ynez,Modified Santa Ynez,Modified CA,Modified USA,Modified 34.60682028,Modified -120.0755617
Modified IZG,Modified Eastern Slopes Regional,Modified Fryeburg,Modified ME,Modified USA,Modified 43.99114472,Modified -70.94787444
Modified JAC,Modified Jackson Hole,Modified Jackson,Modified WY,Modified USA,Modified 43.60732417,Modified -110.7377389
Modified JAN,Modified Jackson International,Modified Jackson,Modified MS,Modified USA,Modified 32.31116667,Modified -90.07588889
Modified JAS,Modified Jasper County -Bell,Modified Jasper,Modified TX,Modified USA,Modified 30.89058333,Modified -94.03483333
Modified JAU,Modified Campbell County,Modified Jacksboro,Modified TN,Modified USA,Modified 36.33457556,Modified -84.16234472
Modified JAX,Modified Jacksonville International,Modified Jacksonville,Modified FL,Modified USA,Modified 30.49405556,Modified -81.68786111
Modified JBR,Modified Jonesboro Municipal,Modified Jonesboro,Modified AR,Modified USA,Modified 35.83186111,Modified -90.64616667
Modified JCT,Modified Kimble County,Modified Junction,Modified TX,Modified USA,Modified 30.51126,Modified -99.76345528
Modified JDN,Modified Jordan,Modified Jordan,Modified MT,Modified USA,Modified 47.33333417,Modified -106.9339564
Modified JEF,Modified Jefferson City Memorial,Modified Jefferson City,Modified MO,Modified USA,Modified 38.59117917,Modified -92.15614389
Modified JER,Modified Jerome County,Modified Jerome,Modified ID,Modified USA,Modified 42.72663639,Modified -114.4571506
Modified JES,Modified Jesup-Wayne County,Modified Jesup,Modified GA,Modified USA,Modified 31.55408333,Modified -81.88344444
Modified JFK,Modified John F Kennedy Intl,Modified New York,Modified NY,Modified USA,Modified 40.63975111,Modified -73.77892556
Modified JFX,Modified Walker County,Modified Jasper,Modified AL,Modified USA,Modified 33.90199528,Modified -87.31416639
Modified JHM,Modified Kapalua,Modified Lahaina,Modified HI,Modified USA,Modified 20.96293639,Modified -156.6730317
Modified JHW,Modified Chautauqua Cty,Modified Jamestown,Modified NY,Modified USA,Modified 42.15336861,Modified -79.258035
Modified JKA,Modified Jack Edwards,Modified Gulf Shores,Modified AL,Modified USA,Modified 30.28951667,Modified -87.67371472
Modified JKJ,Modified Moorhead Municipal,Modified Moorhead,Modified MN,Modified USA,Modified 46.83919194,Modified -96.66313028
Modified JKL,Modified Julian Carroll,Modified Jackson,Modified KY,Modified USA,Modified 37.59386111,Modified -83.31725
Modified JLN,Modified Joplin Regional,Modified Joplin,Modified MO,Modified USA,Modified 37.15181361,Modified -94.49826833
Modified JMR,Modified Mora Municipal,Modified Mora,Modified MN,Modified USA,Modified 45.88609722,Modified -93.27177833
Modified JMS,Modified Jamestown Municipal,Modified Jamestown,Modified ND,Modified USA,Modified 46.92971944,Modified -98.67819528
Modified JNU,Modified Juneau International,Modified Juneau,Modified AK,Modified USA,Modified 58.35496194,Modified -134.5762764
Modified JNX,Modified Johnston County,Modified Smithfield,Modified NC,Modified USA,Modified 35.54094139,Modified -78.39032944
Modified JOT,Modified Joliet Park District,Modified Chicago/Joliet,Modified IL,Modified USA,Modified 41.51805833,Modified -88.17525583
Modified JQF,Modified Concord Regional,Modified Concord,Modified NC,Modified USA,Modified 35.38520694,Modified -80.70971389
Modified JRA,Modified Port Authority-W 30th St Midtown Heliport,Modified New York,Modified NY,Modified USA,Modified 40.75454583,Modified -74.00708389
Modified JRB,Modified Downtown Manhattan/Wall St. Heliport,Modified New York,Modified NY,Modified USA,Modified 40.70121361,Modified -74.00902833
Modified JRF,Modified Kalaeloa (John Rodgers),Modified Kapolei,Modified HI,Modified USA,Modified 21.30735389,Modified -158.0703017
Modified JSO,Modified Jacksonville-Cherokee County,Modified Jacksonville,Modified TX,Modified USA,Modified 31.86933667,Modified -95.21739028
Modified JST,Modified Johnstown-Cambria Cty,Modified Johnstown,Modified PA,Modified USA,Modified 40.31611111,Modified -78.83394444
Modified JVL,Modified Rock County,Modified Janesville,Modified WI,Modified USA,Modified 42.61958222,Modified -89.04034028
Modified JVY,Modified Clark County,Modified Jeffersonville,Modified IN,Modified USA,Modified 38.36562278,Modified -85.73829639
Modified JWG,Modified Watonga,Modified Watonga,Modified OK,Modified USA,Modified 35.86469444,Modified -98.42075
Modified JWN,Modified John C. Tune,Modified Nashville,Modified TN,Modified USA,Modified 36.18236194,Modified -86.88672278
Modified JXN,Modified Jackson County Reynolds,Modified Jackson,Modified MI,Modified USA,Modified 42.25978556,Modified -84.45940361
Modified JYG,Modified St James Municipal,Modified St James,Modified MN,Modified USA,Modified 43.98631833,Modified -94.55793722
Modified JYL,Modified Plantation Airpark,Modified Sylvania,Modified GA,Modified USA,Modified 32.64544861,Modified -81.59649722
Modified JYM,Modified Hillsdale Municipal,Modified Hillsdale,Modified MI,Modified USA,Modified 41.92126083,Modified -84.5857625
Modified JYO,Modified Leesburg Executive,Modified Leesburg,Modified VA,Modified USA,Modified 39.07797222,Modified -77.5575
Modified JYR,Modified Municipal,Modified York,Modified NE,Modified USA,Modified 40.89675,Modified -97.62277778
Modified JZI,Modified Charleston Executive,Modified Charleston,Modified SC,Modified USA,Modified 32.70086111,Modified -80.00291667
Modified JZP,Modified Pickens County,Modified Jasper,Modified GA,Modified USA,Modified 34.45147972,Modified -84.45659278
Modified JZZ,Modified Koliganek,Modified Koliganek,Modified AK,Modified USA,Modified 59.72664194,Modified -157.2594722
Modified K01,Modified Farington,Modified Auburn,Modified NE,Modified USA,Modified 40.38750167,Modified -95.78916167
Modified K02,Modified Perryville Municipal,Modified Perryville,Modified MO,Modified USA,Modified 37.86866667,Modified -89.86213889
Modified K06,Modified Greater Beardstown,Modified Beardstown,Modified IL,Modified USA,Modified 39.97338139,Modified -90.40373556
Modified K09,Modified Piseco Muni,Modified Piseco,Modified NY,Modified USA,Modified 43.45340222,Modified -74.51765083
Modified K15,Modified Linn Creek-Grand Glaize Memorial,Modified Osage Beach,Modified MO,Modified USA,Modified 38.11045,Modified -92.68054583
Modified K20,Modified Wendell H. Ford,Modified Hazard,Modified KY,Modified USA,Modified 37.38783833,Modified -83.26205889
Modified K22,Modified Big Sandy Regional,Modified Prestonburg,Modified KY,Modified USA,Modified 37.75102778,Modified -82.63669444
Modified K24,Modified Russell County,Modified Jamestown,Modified KY,Modified USA,Modified 37.00888889,Modified -85.10277778
Modified K29,Modified Council,Modified Council,Modified AK,Modified USA,Modified 64.89788278,Modified -163.7034472
Modified K33,Modified Salem Memorial,Modified Salem,Modified MO,Modified USA,Modified 37.61523333,Modified -91.60444167
Modified K34,Modified Municipal,Modified Gardner,Modified KS,Modified USA,Modified 38.80708333,Modified -94.95602778
Modified K39,Modified St Clair Memorial,Modified St Clair,Modified MO,Modified USA,Modified 38.37594333,Modified -90.97073944
Modified K46,Modified Blair Municipal,Modified Blair,Modified NE,Modified USA,Modified 41.41805139,Modified -96.1136275
Modified K54,Modified Teller,Modified Teller,Modified AK,Modified USA,Modified 65.24089806,Modified -166.3360067
Modified K57,Modified Gould Peterson Municipal,Modified Tarkio,Modified MO,Modified USA,Modified 40.44583139,Modified -95.36275806
Modified K59,Modified Amelia Earhart,Modified Atchison,Modified KS,Modified USA,Modified 39.57052472,Modified -95.18033139
Modified K61,Modified Moritz Memorial,Modified Beloit,Modified KS,Modified USA,Modified 39.47115222,Modified -98.12878389
Modified K62,Modified Falmouth Pendleton County,Modified Falmouth,Modified KY,Modified USA,Modified 38.70423611,Modified -84.39160417
Modified K67,Modified Oswego Municipal,Modified Oswego,Modified KS,Modified USA,Modified 37.15978667,Modified -95.04246222
Modified K68,Modified Garnett Municipal,Modified Garnett,Modified KS,Modified USA,Modified 38.27918833,Modified -95.21691833
Modified K78,Modified Abilene Municipal,Modified Abilene.,Modified KS,Modified USA,Modified 38.90405583,Modified -97.23585389
Modified K81,Modified Miami County,Modified Paola,Modified KS,Modified USA,Modified 38.53751389,Modified -94.92524194
Modified K82,Modified Smith Center Municipal,Modified Smith Center,Modified KS,Modified USA,Modified 39.76112278,Modified -98.79343639
Modified K83,Modified Sabetha Municipal,Modified Sabetha,Modified KS,Modified USA,Modified 39.90416667,Modified -95.7794325
Modified K88,Modified Allen County,Modified Iola,Modified KS,Modified USA,Modified 37.87008333,Modified -95.38638889
Modified K89,Modified Macon-Fower Memorial,Modified Macon,Modified MO,Modified USA,Modified 39.72870694,Modified -92.464455
Modified K96,Modified Tuscola,Modified Tuscola,Modified IL,Modified USA,Modified 39.78086528,Modified -88.30616
Modified KAE,Modified Kake SPB,Modified Kake,Modified AK,Modified USA,Modified 56.97299639,Modified -133.9456147
Modified KAL,Modified Kaltag,Modified Kaltag,Modified AK,Modified USA,Modified 64.32571917,Modified -158.7441475
Modified KCC,Modified Coffman Cove SPB,Modified Coffman Cove,Modified AK,Modified USA,Modified 56.00324444,Modified -132.8419689
Modified KCL,Modified Chignik Lagoon,Modified Chignik Flats,Modified AK,Modified USA,Modified 56.31116306,Modified -158.5359264
Modified KEB,Modified English Bay,Modified English Bay,Modified AK,Modified USA,Modified 59.35214833,Modified -151.9251558
Modified KEK,Modified Ekwok,Modified Ekwok,Modified AK,Modified USA,Modified 59.35399444,Modified -157.4744092
Modified KFP,Modified False Pass,Modified False Pass,Modified AK,Modified USA,Modified 54.84744583,Modified -163.4103222
Modified KGX,Modified Grayling,Modified Grayling,Modified AK,Modified USA,Modified 62.89456056,Modified -160.0649042
Modified KIB,Modified Ivanof Bay SPB,Modified Ivanof Bay,Modified AK,Modified USA,Modified 55.89753333,Modified -159.4886689
Modified KIC,Modified Mesa Del Rey,Modified King City,Modified CA,Modified USA,Modified 36.22802139,Modified -121.1218614
Modified KKA,Modified Koyuk,Modified Koyuk,Modified AK,Modified USA,Modified 64.93404056,Modified -161.158145
Modified KKB,Modified Kitoi Bay SPB,Modified Kitoi Bay,Modified AK,Modified USA,Modified 58.19094611,Modified -152.3704875
Modified KLG,Modified Kalskag,Modified Kalskag,Modified AK,Modified USA,Modified 61.53627389,Modified -160.3413306
Modified KLL,Modified Levelock,Modified Levelock,Modified AK,Modified USA,Modified 59.11816472,Modified -156.8652169
Modified KLS,Modified Kelso-Longview,Modified Kelso,Modified WA,Modified USA,Modified 46.118,Modified -122.8983889
Modified KNB,Modified Kanab Muni,Modified Kanab,Modified UT,Modified USA,Modified 37.01110583,Modified -112.5311936
Modified KNW,Modified Stuyahok,Modified New Stuyahok,Modified AK,Modified USA,Modified 59.44955333,Modified -157.3271908
Modified KOA,Modified Kona International At Keahole,Modified Kailua/Kona,Modified HI,Modified USA,Modified 19.73876583,Modified -156.0456314
Modified KPB,Modified Point Baker SPB,Modified Point Baker,Modified AK,Modified USA,Modified 56.35185972,Modified -133.6225864
Modified KPH,Modified Pauloff Harbor SPB,Modified Pauloff Harbor,Modified AK,Modified USA,Modified 54.45912028,Modified -162.6936406
Modified KQA,Modified Akutan SPB,Modified Akutan,Modified AK,Modified USA,Modified 54.13246694,Modified -165.7853111
Modified KSM,Modified St. Mary's,Modified St. Mary's,Modified AK,Modified USA,Modified 62.06048639,Modified -163.3021108
Modified KTB,Modified Thorne Bay,Modified Thorne Bay,Modified AK,Modified USA,Modified 55.68796194,Modified -132.5366758
Modified KTN,Modified Ketchikan International,Modified Ketchikan,Modified AK,Modified USA,Modified 55.35556861,Modified -131.71374
Modified KTS,Modified Brevig Mission,Modified Brevig Mission,Modified AK,Modified USA,Modified 65.33136111,Modified -166.4631667
Modified KVC,Modified King Cove,Modified King Cove,Modified AK,Modified USA,Modified 55.1163475,Modified -162.2662272
Modified KVL,Modified Kivalina,Modified Kivalina,Modified AK,Modified USA,Modified 67.73125333,Modified -164.5518019
Modified KWT,Modified Kwethluk,Modified Kwethluk,Modified AK,Modified USA,Modified 60.80425194,Modified -161.44535
Modified KXA,Modified Kasaan SPB,Modified Kasaan,Modified AK,Modified USA,Modified 55.53741389,Modified -132.3975144
Modified KYK,Modified Karluk,Modified Karluk,Modified AK,Modified USA,Modified 57.56706389,Modified -154.4503714
Modified KYU,Modified Koyukuk,Modified Koyukuk,Modified AK,Modified USA,Modified 64.87714278,Modified -157.7158358
Modified L04,Modified Holtville,Modified Holtville,Modified CA,Modified USA,Modified 32.84032361,Modified -115.2674806
Modified L05,Modified Kern Valley,Modified Kernville,Modified CA,Modified USA,Modified 35.72828472,Modified -118.4198069
Modified L06,Modified Furnace Creek,Modified Death Valley National Park,Modified CA,Modified USA,Modified 36.46383694,Modified -116.8814425
Modified L08,Modified Borrego Valley,Modified Borrego Springs,Modified CA,Modified USA,Modified 33.25902778,Modified -116.3209722
Modified L12,Modified Redlands Municipal,Modified Redlands,Modified CA,Modified USA,Modified 34.08526167,Modified -117.1463789
Modified L15,Modified Henderson,Modified Las Vegas,Modified NV,Modified USA,Modified 35.97636444,Modified -115.1327708
Modified L17,Modified Taft-Kern County,Modified Taft,Modified CA,Modified USA,Modified 35.14107806,Modified -119.4412294
Modified L18,Modified Fallbrook Community Airpark,Modified Fallbrook,Modified CA,Modified USA,Modified 33.35419806,Modified -117.2508686
Modified L19,Modified Wasco-Kern County,Modified Wasco,Modified CA,Modified USA,Modified 35.61967889,Modified -119.3537242
Modified L26,Modified Hesperia,Modified Hesperia,Modified CA,Modified USA,Modified 34.37722333,Modified -117.3158783
Modified L31,Modified Greater St. Tammany Parish,Modified Covington,Modified LA,Modified USA,Modified 30.44505417,Modified -89.98887889
Modified L35,Modified Big Bear City,Modified Big Bear,Modified CA,Modified USA,Modified 34.26361944,Modified -116.854475
Modified L38,Modified Louisiana Regional,Modified Gonzales,Modified LA,Modified USA,Modified 30.17135306,Modified -90.94039583
Modified L39,Modified Leesville,Modified Leesville,Modified LA,Modified USA,Modified 31.16819444,Modified -93.34245833
Modified L42,Modified Allen Parish,Modified Oakdale,Modified LA,Modified USA,Modified 30.75016667,Modified -92.68847222
Modified L45,Modified Bakersfield Municipal,Modified Bakersfield,Modified CA,Modified USA,Modified 35.32483333,Modified -118.9958333
Modified L49,Modified South Lafourche,Modified Galliano,Modified LA,Modified USA,Modified 29.44482222,Modified -90.26111667
Modified L52,Modified Oceano County,Modified Oceano,Modified CA,Modified USA,Modified 35.10136472,Modified -120.6221153
Modified L67,Modified Rialto Municipal,Modified Rialto,Modified CA,Modified USA,Modified 34.12934361,Modified -117.4016303
Modified L70,Modified Agua Dulce Airpark,Modified Agua Dulce,Modified CA,Modified USA,Modified 34.50415889,Modified -118.3128561
Modified L71,Modified California City Municipal,Modified California City,Modified CA,Modified USA,Modified 35.15125306,Modified -118.0166667
Modified L72,Modified Trona,Modified Trona,Modified CA,Modified USA,Modified 35.81245333,Modified -117.3272783
Modified L75,Modified Southland,Modified Sulphur,Modified LA,Modified USA,Modified 30.13138889,Modified -93.37611111
Modified L83,Modified Thibodaux Municipal,Modified Thibodaux,Modified LA,Modified USA,Modified 29.74779194,Modified -90.83289889
Modified L84,Modified Lost Hills-Kern County,Modified Lost Hills,Modified CA,Modified USA,Modified 35.62357083,Modified -119.6862383
Modified L92,Modified Alamo Landing,Modified Alamo,Modified NV,Modified USA,Modified 37.36246083,Modified -115.1944622
Modified LAA,Modified Lamar Muni,Modified Lamar,Modified CO,Modified USA,Modified 38.06969444,Modified -102.6885
Modified LAF,Modified Purdue University,Modified Lafayette,Modified IN,Modified USA,Modified 40.41231694,Modified -86.93689889
Modified LAL,Modified Lakeland Linder Regional,Modified Lakeland,Modified FL,Modified USA,Modified 27.98891667,Modified -82.01855556
Modified LAM,Modified Los Alamos,Modified Los Alamos,Modified NM,Modified USA,Modified 35.87980194,Modified -106.2694153
Modified LAN,Modified Capital City,Modified Lansing,Modified MI,Modified USA,Modified 42.7787,Modified -84.58735806
Modified LAR,Modified Laramie Regional,Modified Laramie,Modified WY,Modified USA,Modified 41.31205,Modified -105.6749864
Modified LAS,Modified McCarran International,Modified Las Vegas,Modified NV,Modified USA,Modified 36.08036111,Modified -115.1523333
Modified LAW,Modified Lawton-Ft Sill Regional,Modified Lawton,Modified OK,Modified USA,Modified 34.56771444,Modified -98.41663667
Modified LAX,Modified Los Angeles International,Modified Los Angeles,Modified CA,Modified USA,Modified 33.94253611,Modified -118.4080744
Modified LBB,Modified Lubbock International,Modified Lubbock,Modified TX,Modified USA,Modified 33.66363889,Modified -101.8227778
Modified LBE,Modified Arnold Palmer Regional,Modified Latrobe,Modified PA,Modified USA,Modified 40.27594,Modified -79.40479722
Modified LBF,Modified North Platte Regional,Modified North Platte,Modified NE,Modified USA,Modified 41.12621194,Modified -100.6836542
Modified LBL,Modified Liberal Municipal,Modified Liberal,Modified KS,Modified USA,Modified 37.04420944,Modified -100.9598611
Modified LBO,Modified Floyd W Jones Lebanon,Modified Lebanon,Modified MO,Modified USA,Modified 37.64718056,Modified -92.65375778
Modified LBT,Modified Lumberton Municipal,Modified Lumberton,Modified NC,Modified USA,Modified 34.60991667,Modified -79.05944444
Modified LBX,Modified Brazoria County,Modified Angleton,Modified TX,Modified USA,Modified 29.10863889,Modified -95.46208056
Modified LCG,Modified Wayne Municipal,Modified Wayne,Modified NE,Modified USA,Modified 42.24188889,Modified -96.98141667
Modified LCH,Modified Lake Charles Regional,Modified Lake Charles,Modified LA,Modified USA,Modified 30.1260975,Modified -93.22340361
Modified LCI,Modified Laconia Municipal,Modified Laconia,Modified NH,Modified USA,Modified 43.57272806,Modified -71.41890028
Modified LCK,Modified Rickenbacker International,Modified Columbus,Modified OH,Modified USA,Modified 39.81375917,Modified -82.92786472
Modified LCQ,Modified Lake City Municipal,Modified Lake City,Modified FL,Modified USA,Modified 30.18205556,Modified -82.57686111
Modified LDJ,Modified Linden,Modified Linden,Modified NJ,Modified USA,Modified 40.61744722,Modified -74.24459417
Modified LDM,Modified Mason County,Modified Ludington,Modified MI,Modified USA,Modified 43.96253278,Modified -86.40791528
Modified LEB,Modified Lebanon Municipal,Modified Lebanon,Modified NH,Modified USA,Modified 43.62637222,Modified -72.30426722
Modified LEE,Modified Leesburg Regional,Modified Leesburg,Modified FL,Modified USA,Modified 28.82274417,Modified -81.80900722
Modified LEM,Modified Lemmon Municipal,Modified Lemmon,Modified SD,Modified USA,Modified 45.91869722,Modified -102.1061778
Modified LEW,Modified Auburn-Lewiston Municipal,Modified Auburn-Lewiston,Modified ME,Modified USA,Modified 44.04847278,Modified -70.2835075
Modified LEX,Modified Blue Grass,Modified Lexington,Modified KY,Modified USA,Modified 38.03697222,Modified -84.60538889
Modified LFK,Modified Lufkin-Angelina County,Modified Lufkin,Modified TX,Modified USA,Modified 31.23401389,Modified -94.75
Modified LFT,Modified Lafayette Regional,Modified Lafayette,Modified LA,Modified USA,Modified 30.20527972,Modified -91.987655
Modified LGA,Modified LaGuardia,Modified New York,Modified NY,Modified USA,Modified 40.77724306,Modified -73.87260917
Modified LGB,Modified Long Beach (Daugherty),Modified Long Beach,Modified CA,Modified USA,Modified 33.81772222,Modified -118.1516111
Modified LGC,Modified LaGrange-Callaway,Modified Lagrange,Modified GA,Modified USA,Modified 33.00884694,Modified -85.07260556
Modified LGD,Modified La Grande/Union County,Modified La Grande,Modified OR,Modified USA,Modified 45.29020944,Modified -118.0071108
Modified LGU,Modified Logan-Cache,Modified Logan,Modified UT,Modified USA,Modified 41.78773083,Modified -111.8526822
Modified LHD,Modified Lake Hood SPB,Modified Anchorage,Modified AK,Modified USA,Modified 61.18000361,Modified -149.9719322
Modified LHM,Modified Lincoln Regional,Modified Lincoln,Modified CA,Modified USA,Modified 38.90916111,Modified -121.3513361
Modified LHQ,Modified Fairfield County,Modified Lancaster,Modified OH,Modified USA,Modified 39.75564722,Modified -82.65711
Modified LHV,Modified Wm T Piper Memorial,Modified Lock Haven,Modified PA,Modified USA,Modified 41.13618028,Modified -77.42053556
Modified LHX,Modified La Junta Muni,Modified La Junta,Modified CO,Modified USA,Modified 38.05134111,Modified -103.5106908
Modified LHZ,Modified Franklin County,Modified Louisburg,Modified NC,Modified USA,Modified 36.02334528,Modified -78.33027139
Modified LIC,Modified Limon Municipal,Modified Limon,Modified CO,Modified USA,Modified 39.272765,Modified -103.6663392
Modified LIH,Modified Lihue,Modified Lihue,Modified HI,Modified USA,Modified 21.97598306,Modified -159.3389581
Modified LIT,Modified Adams,Modified Little Rock,Modified AR,Modified USA,Modified 34.72939611,Modified -92.22424556
Modified LJF,Modified Litchfield Municipal,Modified Litchfield,Modified MN,Modified USA,Modified 45.09712889,Modified -94.50726833
Modified LKP,Modified Lake Placid,Modified Lake Placid,Modified NY,Modified USA,Modified 44.26447361,Modified -73.96186639
Modified LKR,Modified Lancaster County,Modified Lancaster,Modified SC,Modified USA,Modified 34.72291667,Modified -80.85458333
Modified LKU,Modified Louisa County / Freeman,Modified Louisa,Modified VA,Modified USA,Modified 38.00983333,Modified -77.97013889
Modified LKV,Modified Lake County,Modified Lakeview,Modified OR,Modified USA,Modified 42.16111111,Modified -120.3990703
Modified LLJ,Modified Challis,Modified Challis,Modified ID,Modified USA,Modified 44.52297806,Modified -114.2175642
Modified LLQ,Modified Monticello Municipal,Modified Monticello,Modified AR,Modified USA,Modified 33.6385525,Modified -91.75101833
Modified LLU,Modified Lamar Municipal,Modified Lamar,Modified MO,Modified USA,Modified 37.4894925,Modified -94.31150444
Modified LMS,Modified Louisville-Winston County,Modified Louisville,Modified MS,Modified USA,Modified 33.14620944,Modified -89.06247917
Modified LMT,Modified Klamath Falls International,Modified Klamath Falls,Modified OR,Modified USA,Modified 42.15614361,Modified -121.7332081
Modified LNA,Modified Palm Beach County Park,Modified Lantana,Modified FL,Modified USA,Modified 26.593,Modified -80.08505556
Modified LNC,Modified Lancaster,Modified Lancaster,Modified TX,Modified USA,Modified 32.57919111,Modified -96.71905111
Modified LND,Modified Hunt,Modified Lander,Modified WY,Modified USA,Modified 42.81523611,Modified -108.7298392
Modified LNK,Modified Lincoln Municipal,Modified Lincoln,Modified NE,Modified USA,Modified 40.85097222,Modified -96.75925
Modified LNL,Modified Kings Land O' Lakes,Modified Land O' Lakes,Modified WI,Modified USA,Modified 46.15387722,Modified -89.21194417
Modified LNN,Modified Lost Nation,Modified Willoughby,Modified OH,Modified USA,Modified 41.68391667,Modified -81.39030556
Modified LNP,Modified Lonesome Pine,Modified Wise,Modified VA,Modified USA,Modified 36.98743194,Modified -82.53017361
Modified LNS,Modified Lancaster,Modified Lancaster,Modified PA,Modified USA,Modified 40.12171528,Modified -76.29609778
Modified LNY,Modified Lanai,Modified Lanai City,Modified HI,Modified USA,Modified 20.78561111,Modified -156.9514181
Modified LOL,Modified Derby,Modified Lovelock,Modified NV,Modified USA,Modified 40.066405,Modified -118.5651664
Modified LOT,Modified Lewis University,Modified Chicago/Romeoville,Modified IL,Modified USA,Modified 41.60844444,Modified -88.09094444
Modified LOU,Modified Bowman,Modified Louisville,Modified KY,Modified USA,Modified 38.228,Modified -85.66372222
