MODIFIED IATA,MODIFIED NAME,MODIFIED CITY,MODIFIED STATE,MODIFIED COUNTRY,MODIFIED LATITUDE,MODIFIED LONGITUDE
MODIFIED AQT,MODIFIED NUIQSUT,MODIFIED NUIQSUT,MODIFIED AK,MODIFIED USA,MODIFIED 70.20995278,MODIFIED -151.0055611
MODIFIED AQW,MODIFIED HARRIMAN AND WEST,MODIFIED NORTH ADAMS,MODIFIED MA,MODIFIED USA,MODIFIED 42.69591417,MODIFIED -73.17038306
MODIFIED AQY,MODIFIED GIRDWOOD,MODIFIED GIRDWOOD,MODIFIED AK,MODIFIED USA,MODIFIED 60.96609583,MODIFIED -149.1257892
MODIFIED ARA,MODIFIED ACADIANA REGIONAL,MODIFIED NEW IBERIA,MODIFIED LA,MODIFIED USA,MODIFIED 30.03775833,MODIFIED -91.88389611
MODIFIED ARB,MODIFIED ANN ARBOR MUNICIPAL,MODIFIED ANN ARBOR,MODIFIED MI,MODIFIED USA,MODIFIED 42.22298361,MODIFIED -83.74560722
MODIFIED ARC,MODIFIED ARCTIC VILLAGE,MODIFIED ARCTIC VILLAGE,MODIFIED AK,MODIFIED USA,MODIFIED 68.11608083,MODIFIED -145.5761114
MODIFIED ARG,MODIFIED WALNUT RIDGE REGIONAL,MODIFIED WALNUT RIDGE,MODIFIED AR,MODIFIED USA,MODIFIED 36.12534667,MODIFIED -90.92461944
MODIFIED ARR,MODIFIED AURORA MUNICIPAL,MODIFIED CHICAGO/AURORA,MODIFIED IL,MODIFIED USA,MODIFIED 41.77192944,MODIFIED -88.47565917
MODIFIED ART,MODIFIED WATERTOWN INTL,MODIFIED WATERTOWN,MODIFIED NY,MODIFIED USA,MODIFIED 43.99192222,MODIFIED -76.02173861
MODIFIED ARV,MODIFIED LAKELAND,MODIFIED MINOCQUA-WOODRUFF,MODIFIED WI,MODIFIED USA,MODIFIED 45.92792556,MODIFIED -89.73094278
MODIFIED ASD,MODIFIED SLIDELL,MODIFIED SLIDELL,MODIFIED LA,MODIFIED USA,MODIFIED 30.345055,MODIFIED -89.82078833
MODIFIED ASE,MODIFIED ASPEN-PITKIN CO/SARDY,MODIFIED ASPEN,MODIFIED CO,MODIFIED USA,MODIFIED 39.22316,MODIFIED -106.868845
MODIFIED ASG,MODIFIED SPRINGDALE MUNICIPAL,MODIFIED SPRINGDALE,MODIFIED AR,MODIFIED USA,MODIFIED 36.17641056,MODIFIED -94.11925833
MODIFIED ASH,MODIFIED BOIRE,MODIFIED NASHUA,MODIFIED NH,MODIFIED USA,MODIFIED 42.78176306,MODIFIED -71.51477944
MODIFIED ASJ,MODIFIED TRI-COUNTY,MODIFIED AHOSKIE,MODIFIED NC,MODIFIED USA,MODIFIED 36.29752583,MODIFIED -77.17085556
MODIFIED ASL,MODIFIED MARSHALL - HARRISON COUNTY,MODIFIED MARSHALL,MODIFIED TX,MODIFIED USA,MODIFIED 32.5205,MODIFIED -94.30777778
MODIFIED ASN,MODIFIED TALLADEGA MUNICIPAL,MODIFIED TALLADEGA,MODIFIED AL,MODIFIED USA,MODIFIED 33.56991111,MODIFIED -86.05085833
MODIFIED AST,MODIFIED ASTORIA REGIONAL,MODIFIED ASTORIA,MODIFIED OR,MODIFIED USA,MODIFIED 46.15797222,MODIFIED -123.8786944
MODIFIED ASW,MODIFIED WARSAW MUNICIPAL,MODIFIED WARSAW,MODIFIED IN,MODIFIED USA,MODIFIED 41.2747,MODIFIED -85.84005556
MODIFIED ASX,MODIFIED JOHN F KENNEDY MEMORIAL,MODIFIED ASHLAND,MODIFIED WI,MODIFIED USA,MODIFIED 46.54852806,MODIFIED -90.91896639
MODIFIED ATA,MODIFIED HALL-MILLER MUNICIPAL,MODIFIED ATLANTA,MODIFIED TX,MODIFIED USA,MODIFIED 33.101805,MODIFIED -94.19532694
MODIFIED ATK,MODIFIED ATQASUK,MODIFIED ATQASUK,MODIFIED AK,MODIFIED USA,MODIFIED 70.46727611,MODIFIED -157.4357361
MODIFIED ATL,MODIFIED WILLIAM B HARTSFIELD-ATLANTA INTL,MODIFIED ATLANTA,MODIFIED GA,MODIFIED USA,MODIFIED 33.64044444,MODIFIED -84.42694444
MODIFIED ATS,MODIFIED ARTESIA MUNICIPAL,MODIFIED ARTESIA,MODIFIED NM,MODIFIED USA,MODIFIED 32.85252806,MODIFIED -104.4676864
MODIFIED ATW,MODIFIED OUTAGAMIE COUNTY REGIONAL,MODIFIED APPLETON,MODIFIED WI,MODIFIED USA,MODIFIED 44.25740806,MODIFIED -88.51947556
MODIFIED ATY,MODIFIED WATERTOWN MUNICIPAL,MODIFIED WATERTOWN,MODIFIED SD,MODIFIED USA,MODIFIED 44.91398056,MODIFIED -97.15471944
MODIFIED AUG,MODIFIED AUGUSTA STATE,MODIFIED AUGUSTA,MODIFIED ME,MODIFIED USA,MODIFIED 44.32064972,MODIFIED -69.79731806
MODIFIED AUH,MODIFIED AURORA MUNICIPAL,MODIFIED AURORA,MODIFIED NE,MODIFIED USA,MODIFIED 40.89413889,MODIFIED -97.99455556
MODIFIED AUK,MODIFIED ALAKANUK,MODIFIED ALAKANUK,MODIFIED AK,MODIFIED USA,MODIFIED 62.68004417,MODIFIED -164.6599253
MODIFIED AUM,MODIFIED AUSTIN MUNICIPAL,MODIFIED AUSTIN,MODIFIED MN,MODIFIED USA,MODIFIED 43.66499083,MODIFIED -92.933385
MODIFIED AUN,MODIFIED AUBURN MUNICIPAL,MODIFIED AUBURN,MODIFIED CA,MODIFIED USA,MODIFIED 38.95476944,MODIFIED -121.0820806
MODIFIED AUO,MODIFIED AUBURN-OPELIK,MODIFIED AUBURN,MODIFIED AL,MODIFIED USA,MODIFIED 32.61635417,MODIFIED -85.43355944
MODIFIED AUS,MODIFIED AUSTIN-BERGSTROM INTERNATIONAL,MODIFIED AUSTIN,MODIFIED TX,MODIFIED USA,MODIFIED 30.19453278,MODIFIED -97.66987194
MODIFIED AUW,MODIFIED WAUSAU MUNICIPAL,MODIFIED WAUSAU,MODIFIED WI,MODIFIED USA,MODIFIED 44.92847222,MODIFIED -89.62661111
MODIFIED AVC,MODIFIED MECKLENBURG-BRUNSWICK REGIONAL,MODIFIED SOUTH HILL,MODIFIED VA,MODIFIED USA,MODIFIED 36.68827778,MODIFIED -78.05447222
MODIFIED AVK,MODIFIED ALVA REGIONAL,MODIFIED ALVA,MODIFIED OK,MODIFIED USA,MODIFIED 36.77317,MODIFIED -98.66994611
MODIFIED AVL,MODIFIED ASHEVILLE REGIONAL,MODIFIED ASHEVILLE,MODIFIED NC,MODIFIED USA,MODIFIED 35.43619444,MODIFIED -82.54180556
MODIFIED AVO,MODIFIED AVON PARK MUNICIPAL,MODIFIED AVON PARK,MODIFIED FL,MODIFIED USA,MODIFIED 27.591145,MODIFIED -81.52785333
MODIFIED AVP,MODIFIED WILKES-BARRE/SCRANTON INTL,MODIFIED WILKES-BARRE/SCRANTON,MODIFIED PA,MODIFIED USA,MODIFIED 41.33814944,MODIFIED -75.7242675
MODIFIED AVQ,MODIFIED MARANA NORTHWEST REGIONAL,MODIFIED MARANA,MODIFIED AZ,MODIFIED USA,MODIFIED 32.40939028,MODIFIED -111.2185086
MODIFIED AVX,MODIFIED CATALINA,MODIFIED AVALON,MODIFIED CA,MODIFIED USA,MODIFIED 33.40494444,MODIFIED -118.4158611
MODIFIED AWG,MODIFIED WASHINGTON MUNICIPAL,MODIFIED WASHINGTON,MODIFIED IA,MODIFIED USA,MODIFIED 41.27610083,MODIFIED -91.67344389
MODIFIED AWI,MODIFIED WAINWRIGHT,MODIFIED WAINWRIGHT,MODIFIED AK,MODIFIED USA,MODIFIED 70.638,MODIFIED -159.99475
MODIFIED AWM,MODIFIED WEST MEMPHIS MUNICIPAL,MODIFIED WEST MEMPHIS,MODIFIED AR,MODIFIED USA,MODIFIED 35.13505861,MODIFIED -90.23444639
MODIFIED AWO,MODIFIED ARLINGTON MUNICIPAL,MODIFIED ARLINGTON,MODIFIED WA,MODIFIED USA,MODIFIED 48.16074833,MODIFIED -122.1590208
MODIFIED AXA,MODIFIED ALGONA MUNICIPAL,MODIFIED ALGONA,MODIFIED IA,MODIFIED USA,MODIFIED 43.07791056,MODIFIED -94.27199278
MODIFIED AXN,MODIFIED CHANDLER,MODIFIED ALEXANDRIA,MODIFIED MN,MODIFIED USA,MODIFIED 45.86629833,MODIFIED -95.39466806
MODIFIED AXS,MODIFIED ALTUS MUNICIPAL,MODIFIED ALTUS,MODIFIED OK,MODIFIED USA,MODIFIED 34.69878194,MODIFIED -99.3381
MODIFIED AXV,MODIFIED NEIL ARMSTRONG,MODIFIED WAPAKONETA,MODIFIED OH,MODIFIED USA,MODIFIED 40.49338889,MODIFIED -84.29894444
MODIFIED AXX,MODIFIED ANGEL FIRE,MODIFIED ANGEL FIRE,MODIFIED NM,MODIFIED USA,MODIFIED 36.42240972,MODIFIED -105.2892967
MODIFIED AYS,MODIFIED WAYCROSS-WARE COUNTY,MODIFIED WAYCROSS,MODIFIED GA,MODIFIED USA,MODIFIED 31.24905556,MODIFIED -82.39530556
MODIFIED AZC,MODIFIED COLORADO CITY MUNICIPAL,MODIFIED COLORADO CITY,MODIFIED AZ,MODIFIED USA,MODIFIED 36.95994444,MODIFIED -113.0138889
MODIFIED AZE,MODIFIED HAZELHURST,MODIFIED HAZELHURST,MODIFIED GA,MODIFIED USA,MODIFIED 31.88465639,MODIFIED -82.64738778
MODIFIED AZO,MODIFIED KALAMAZOO COUNTY,MODIFIED KALAMAZOO,MODIFIED MI,MODIFIED USA,MODIFIED 42.234875,MODIFIED -85.5520575
MODIFIED B01,MODIFIED GRANVILLE,MODIFIED GRANVILLE,MODIFIED NY,MODIFIED USA,MODIFIED 43.42507111,MODIFIED -73.26205306
MODIFIED B08,MODIFIED SILVER SPRINGS,MODIFIED SILVER SPRINGS,MODIFIED NV,MODIFIED USA,MODIFIED 39.40324917,MODIFIED -119.2518292
MODIFIED B16,MODIFIED WHITFORD,MODIFIED WEEDSPORT,MODIFIED NY,MODIFIED USA,MODIFIED 43.08027611,MODIFIED -76.53837556
MODIFIED B19,MODIFIED BIDDEFORD MUNICIPAL,MODIFIED BIDDEFORD,MODIFIED ME,MODIFIED USA,MODIFIED 43.46411111,MODIFIED -70.47238889
MODIFIED B21,MODIFIED SUGARLOAF REGIONAL,MODIFIED CARRABASSET,MODIFIED ME,MODIFIED USA,MODIFIED 45.08616639,MODIFIED -70.21617778
MODIFIED BAF,MODIFIED BARNES MUNICIPAL,MODIFIED WESTFIELD,MODIFIED MA,MODIFIED USA,MODIFIED 42.15773111,MODIFIED -72.71562028
MODIFIED BAK,MODIFIED COLUMBUS MUNICIPAL,MODIFIED COLUMBUS,MODIFIED IN,MODIFIED USA,MODIFIED 39.26191861,MODIFIED -85.89634556
MODIFIED BAM,MODIFIED BATTLE MOUNTAIN,MODIFIED BATTLE MOUNTAIN,MODIFIED NV,MODIFIED USA,MODIFIED 40.59904583,MODIFIED -116.8743358
MODIFIED BAX,MODIFIED HURON COUNTY MEMORIAL,MODIFIED BAD AXE,MODIFIED MI,MODIFIED USA,MODIFIED 43.78091667,MODIFIED -82.98566667
MODIFIED BAZ,MODIFIED NEW BRAUNFELS MUNICIPAL,MODIFIED NEW BRAUNFELS,MODIFIED TX,MODIFIED USA,MODIFIED 29.7045,MODIFIED -98.04222222
MODIFIED BBB,MODIFIED BENSON MUNICIPAL,MODIFIED BENSON,MODIFIED MN,MODIFIED USA,MODIFIED 45.3319325,MODIFIED -95.650565
MODIFIED BBD,MODIFIED CURTIS,MODIFIED BRADY,MODIFIED TX,MODIFIED USA,MODIFIED 31.17816667,MODIFIED -99.32463889
MODIFIED BBP,MODIFIED MARLBORO COUNTY,MODIFIED BENNETTSVILLE,MODIFIED SC,MODIFIED USA,MODIFIED 34.62170861,MODIFIED -79.73435944
MODIFIED BBW,MODIFIED BROKEN BOW MUNICIPAL,MODIFIED BROKEN BOW,MODIFIED NE,MODIFIED USA,MODIFIED 41.43645056,MODIFIED -99.64216861
MODIFIED BCB,MODIFIED VIRGINIA TECH,MODIFIED BLACKSBURG,MODIFIED VA,MODIFIED USA,MODIFIED 37.20782361,MODIFIED -80.40832778
MODIFIED BCE,MODIFIED BRYCE CANYON,MODIFIED BRYCE CANYON,MODIFIED UT,MODIFIED USA,MODIFIED 37.70637111,MODIFIED -112.1454725
MODIFIED BCK,MODIFIED BLACK RIVER FALLS AREA,MODIFIED BLACK RIVER FALLS,MODIFIED WI,MODIFIED USA,MODIFIED 44.25073861,MODIFIED -90.85528028
MODIFIED BCT,MODIFIED BOCA RATON,MODIFIED BOCA RATON,MODIFIED FL,MODIFIED USA,MODIFIED 26.37848667,MODIFIED -80.10769667
MODIFIED BCV,MODIFIED BIRCHWOOD,MODIFIED BIRCHWOOD,MODIFIED AK,MODIFIED USA,MODIFIED 61.41612444,MODIFIED -149.50888
MODIFIED BDE,MODIFIED BAUDETTE INTERNATIONAL,MODIFIED BAUDETTE,MODIFIED MN,MODIFIED USA,MODIFIED 48.72741667,MODIFIED -94.61030556
MODIFIED BDG,MODIFIED BLANDING MUNI,MODIFIED BLANDING,MODIFIED UT,MODIFIED USA,MODIFIED 37.58303472,MODIFIED -109.4832889
MODIFIED BDL,MODIFIED BRADLEY INTERNATIONAL,MODIFIED WINDSOR LOCKS,MODIFIED CT,MODIFIED USA,MODIFIED 41.93887417,MODIFIED -72.68322833
MODIFIED BDQ,MODIFIED MORRILTON MUNICIPAL,MODIFIED MORRILTON,MODIFIED AR,MODIFIED USA,MODIFIED 35.13619528,MODIFIED -92.71349722
MODIFIED BDR,MODIFIED IGOR I SIKORSKY MEMORIAL,MODIFIED BRIDGEPORT,MODIFIED CT,MODIFIED USA,MODIFIED 41.16348417,MODIFIED -73.12617861
MODIFIED BDX,MODIFIED BROADUS,MODIFIED BROADUS,MODIFIED MT,MODIFIED USA,MODIFIED 45.433325,MODIFIED -105.4172133
MODIFIED BED,MODIFIED LAURENCE G HANSCOM,MODIFIED BEDFORD,MODIFIED MA,MODIFIED USA,MODIFIED 42.46995306,MODIFIED -71.28903
MODIFIED BEH,MODIFIED SOUTHWEST MICHIGAN REGIONAL,MODIFIED BENTON HARBOR,MODIFIED MI,MODIFIED USA,MODIFIED 42.12858333,MODIFIED -86.4285
MODIFIED BET,MODIFIED BETHEL,MODIFIED BETHEL,MODIFIED AK,MODIFIED USA,MODIFIED 60.77977639,MODIFIED -161.8379975
MODIFIED BFD,MODIFIED BRADFORD REG,MODIFIED BRADFORD,MODIFIED PA,MODIFIED USA,MODIFIED 41.80306778,MODIFIED -78.64012083
MODIFIED BFF,MODIFIED SCOTTS BLUFF COUNTY,MODIFIED SCOTTSBLUFF,MODIFIED NE,MODIFIED USA,MODIFIED 41.87402778,MODIFIED -103.5956389
MODIFIED BFI,MODIFIED BOEING FIELD/KING COUNTY INTL,MODIFIED SEATTLE,MODIFIED WA,MODIFIED USA,MODIFIED 47.52998917,MODIFIED -122.3019561
MODIFIED BFK,MODIFIED BUFFALO MUNICIPAL,MODIFIED BUFFALO,MODIFIED OK,MODIFIED USA,MODIFIED 36.86330139,MODIFIED -99.61873056
MODIFIED BFL,MODIFIED MEADOWS,MODIFIED BAKERSFIELD,MODIFIED CA,MODIFIED USA,MODIFIED 35.43359806,MODIFIED -119.0567681
MODIFIED BFM,MODIFIED MOBILE DOWNTOWN,MODIFIED MOBILE,MODIFIED AL,MODIFIED USA,MODIFIED 30.62646944,MODIFIED -88.06799861
MODIFIED BFR,MODIFIED VIRGIL I GRISSOM MUNICIPAL,MODIFIED BEDFORD,MODIFIED IN,MODIFIED USA,MODIFIED 38.84003306,MODIFIED -86.44536361
MODIFIED BFW,MODIFIED SILVER BAY MUNICIPAL,MODIFIED SILVER BAY,MODIFIED MN,MODIFIED USA,MODIFIED 47.24902778,MODIFIED -91.41558333
MODIFIED BGD,MODIFIED HUTCHINSON COUNTY,MODIFIED BORGER,MODIFIED TX,MODIFIED USA,MODIFIED 35.70004194,MODIFIED -101.3940536
MODIFIED BGE,MODIFIED DECATUR COUNTY INDUSTRIAL AIRPARK,MODIFIED BAINBRIDGE,MODIFIED GA,MODIFIED USA,MODIFIED 30.97152778,MODIFIED -84.63744444
MODIFIED BGF,MODIFIED WINCHESTER MUNICIPAL,MODIFIED WINCHESTER,MODIFIED TN,MODIFIED USA,MODIFIED 35.17753417,MODIFIED -86.06616722
MODIFIED BGM,MODIFIED BINGHAMTON REGIONAL,MODIFIED BINGHAMTON,MODIFIED NY,MODIFIED USA,MODIFIED 42.20848278,MODIFIED -75.97961361
MODIFIED BGQ,MODIFIED BIG LAKE STRIP NR 2,MODIFIED BIG LAKE,MODIFIED AK,MODIFIED USA,MODIFIED 61.53556806,MODIFIED -149.8138975
MODIFIED BGR,MODIFIED BANGOR INTERNATIONAL,MODIFIED BANGOR,MODIFIED ME,MODIFIED USA,MODIFIED 44.80744444,MODIFIED -68.82813889
MODIFIED BHB,MODIFIED HANCOCK CO-BAR HARBOR,MODIFIED BAR HARBOR,MODIFIED ME,MODIFIED USA,MODIFIED 44.44969444,MODIFIED -68.3615
MODIFIED BHC,MODIFIED BAXLEY MUNICIPAL,MODIFIED BAXLEY,MODIFIED GA,MODIFIED USA,MODIFIED 31.71383333,MODIFIED -82.39377778
MODIFIED BHK,MODIFIED BAKER MUNI,MODIFIED BAKER CITY,MODIFIED MT,MODIFIED USA,MODIFIED 46.34763639,MODIFIED -104.2594475
MODIFIED BHM,MODIFIED BIRMINGHAM INTERNATIONAL,MODIFIED BIRMINGHAM,MODIFIED AL,MODIFIED USA,MODIFIED 33.56294306,MODIFIED -86.75354972
MODIFIED BID,MODIFIED BLOCK ISLAND STATE,MODIFIED BLOCK ISLAND,MODIFIED RI,MODIFIED USA,MODIFIED 41.16811889,MODIFIED -71.57784167
MODIFIED BIE,MODIFIED BEATRICE MUNICIPAL,MODIFIED BEATRICE,MODIFIED NE,MODIFIED USA,MODIFIED 40.30127778,MODIFIED -96.75411111
MODIFIED BIG,MODIFIED ALLEN AAF,MODIFIED DELTA JUNCTION,MODIFIED AK,MODIFIED USA,MODIFIED 63.99454722,MODIFIED -145.7216417
MODIFIED BIH,MODIFIED BISHOP,MODIFIED BISHOP,MODIFIED CA,MODIFIED USA,MODIFIED 37.37309556,MODIFIED -118.3636089
MODIFIED BIL,MODIFIED BILLINGS LOGAN INTL,MODIFIED BILLINGS,MODIFIED MT,MODIFIED USA,MODIFIED 45.8076625,MODIFIED -108.5428611
MODIFIED BIS,MODIFIED BISMARCK MUNICIPAL,MODIFIED BISMARCK,MODIFIED ND,MODIFIED USA,MODIFIED 46.77411111,MODIFIED -100.7467222
MODIFIED BIV,MODIFIED TULIP CITY,MODIFIED HOLLAND,MODIFIED MI,MODIFIED USA,MODIFIED 42.74316667,MODIFIED -86.10502778
MODIFIED BJC,MODIFIED JEFFCO,MODIFIED DENVER,MODIFIED CO,MODIFIED USA,MODIFIED 39.90878667,MODIFIED -105.1172158
MODIFIED BJI,MODIFIED BEMIDJI-BELTRAMI COUNTY,MODIFIED BEMIDJI,MODIFIED MN,MODIFIED USA,MODIFIED 47.50942417,MODIFIED -94.93372333
MODIFIED BJJ,MODIFIED WAYNE COUNTY,MODIFIED WOOSTER,MODIFIED OH,MODIFIED USA,MODIFIED 40.87480556,MODIFIED -81.88825
MODIFIED BKD,MODIFIED BRECKENRIDGE STEPHENS COUNTY,MODIFIED BRECKENRIDGE,MODIFIED TX,MODIFIED USA,MODIFIED 32.71904694,MODIFIED -98.89099972
MODIFIED BKE,MODIFIED BAKER CITY MUNICIPAL,MODIFIED BAKER CITY,MODIFIED OR,MODIFIED USA,MODIFIED 44.83733333,MODIFIED -117.8090833
MODIFIED BKL,MODIFIED BURKE LAKEFRONT,MODIFIED CLEVELAND,MODIFIED OH,MODIFIED USA,MODIFIED 41.5175,MODIFIED -81.68333333
MODIFIED BKV,MODIFIED HERNANDO COUNTY,MODIFIED BROOKSVILLE,MODIFIED FL,MODIFIED USA,MODIFIED 28.47359722,MODIFIED -82.45542139
MODIFIED BKW,MODIFIED RALEIGH CTY MEMORIAL,MODIFIED BECKLEY,MODIFIED WV,MODIFIED USA,MODIFIED 37.78732833,MODIFIED -81.12416417
MODIFIED BKX,MODIFIED BROOKINGS MUNICIPAL,MODIFIED BROOKINGS,MODIFIED SD,MODIFIED USA,MODIFIED 44.30483333,MODIFIED -96.81694444
MODIFIED BLF,MODIFIED MERCER CTY,MODIFIED BLUEFIELD,MODIFIED WV,MODIFIED USA,MODIFIED 37.29579944,MODIFIED -81.20769056
MODIFIED BLH,MODIFIED BLYTHE,MODIFIED BLYTHE,MODIFIED CA,MODIFIED USA,MODIFIED 33.61916278,MODIFIED -114.7168764
MODIFIED BLI,MODIFIED BELLINGHAM INTL,MODIFIED BELLINGHAM,MODIFIED WA,MODIFIED USA,MODIFIED 48.79275,MODIFIED -122.5375278
MODIFIED BLM,MODIFIED ALLAIRE ARPT,MODIFIED BELMAR/FARMINGDALE,MODIFIED NJ,MODIFIED USA,MODIFIED 40.18691806,MODIFIED -74.12488694
MODIFIED BLV,MODIFIED SCOTT AFB/MIDAMERICA,MODIFIED BELLEVILLE/ST. LOUIS,MODIFIED IL,MODIFIED USA,MODIFIED 38.54517861,MODIFIED -89.83518444
MODIFIED BMC,MODIFIED BRIGHAM CITY,MODIFIED BRIGHAM CITY,MODIFIED UT,MODIFIED USA,MODIFIED 41.55239139,MODIFIED -112.0622625
MODIFIED BMG,MODIFIED MONROE COUNTY,MODIFIED BLOOMINGTON,MODIFIED IN,MODIFIED USA,MODIFIED 39.14602139,MODIFIED -86.61668278
MODIFIED BMI,MODIFIED CENTRAL ILLINOIS REGIONAL,MODIFIED BLOOMINGTON,MODIFIED IL,MODIFIED USA,MODIFIED 40.47798556,MODIFIED -88.91595278
MODIFIED BML,MODIFIED BERLIN MUNICIPAL,MODIFIED BERLIN,MODIFIED NH,MODIFIED USA,MODIFIED 44.57537278,MODIFIED -71.17593167
MODIFIED BMQ,MODIFIED BURNET MUNI-KATE CRADDOCK,MODIFIED BURNET,MODIFIED TX,MODIFIED USA,MODIFIED 30.73894444,MODIFIED -98.23858333
MODIFIED BMT,MODIFIED BEAUMONT MUNICIPAL,MODIFIED BEAUMONT,MODIFIED TX,MODIFIED USA,MODIFIED 30.07044111,MODIFIED -94.21553806
MODIFIED BNA,MODIFIED NASHVILLE INTERNATIONAL,MODIFIED NASHVILLE,MODIFIED TN,MODIFIED USA,MODIFIED 36.12447667,MODIFIED -86.67818222
MODIFIED BNF,MODIFIED BARANOF WARM SPRINGS SPB,MODIFIED BARANOF WARM SPRINGS,MODIFIED AK,MODIFIED USA,MODIFIED 57.08882583,MODIFIED -134.8331414
MODIFIED BNG,MODIFIED BANNING MUNICIPAL,MODIFIED BANNING,MODIFIED CA,MODIFIED USA,MODIFIED 33.92307111,MODIFIED -116.8505756
MODIFIED BNL,MODIFIED BARNWELL COUNTY,MODIFIED BARNWELL,MODIFIED SC,MODIFIED USA,MODIFIED 33.25777778,MODIFIED -81.38833333
MODIFIED BNO,MODIFIED BURNS MUNI,MODIFIED BURNS,MODIFIED OR,MODIFIED USA,MODIFIED 43.59212778,MODIFIED -118.9549789
MODIFIED BNW,MODIFIED BOONE MUNICIPAL,MODIFIED BOONE,MODIFIED IA,MODIFIED USA,MODIFIED 42.04956944,MODIFIED -93.84757222
MODIFIED BOI,MODIFIED BOISE AIR TERMINAL,MODIFIED BOISE,MODIFIED ID,MODIFIED USA,MODIFIED 43.56444444,MODIFIED -116.2227778
MODIFIED BOK,MODIFIED BROOKINGS,MODIFIED BROOKINGS,MODIFIED OR,MODIFIED USA,MODIFIED 42.07455556,MODIFIED -124.2900939
MODIFIED BOS,MODIFIED GEN EDW L LOGAN INTL,MODIFIED BOSTON,MODIFIED MA,MODIFIED USA,MODIFIED 42.3643475,MODIFIED -71.00517917
MODIFIED BOW,MODIFIED BARTOW MUNICIPAL,MODIFIED BARTOW,MODIFIED FL,MODIFIED USA,MODIFIED 27.9433575,MODIFIED -81.78344167
MODIFIED BPI,MODIFIED BIG PINEY-MARBLETON,MODIFIED BIG PINEY,MODIFIED WY,MODIFIED USA,MODIFIED 42.58506972,MODIFIED -110.1111531
MODIFIED BPK,MODIFIED BAXTER COUNTY REGIONAL,MODIFIED MOUNTAIN HOME,MODIFIED AR,MODIFIED USA,MODIFIED 36.36894194,MODIFIED -92.47052806
MODIFIED BPT,MODIFIED SOUTHEAST TEXAS REGIONAL,MODIFIED BEAUMONT/PORT ARTHUR,MODIFIED TX,MODIFIED USA,MODIFIED 29.95083333,MODIFIED -94.02069444
MODIFIED BQK,MODIFIED GLYNCO JETPORT,MODIFIED BRUNSWICK,MODIFIED GA,MODIFIED USA,MODIFIED 31.25902778,MODIFIED -81.46630556
MODIFIED BQN,MODIFIED RAFAEL HERNANDEZ,MODIFIED AGUADILLA,MODIFIED PR,MODIFIED USA,MODIFIED 18.49486111,MODIFIED -67.12944444
MODIFIED BRD,MODIFIED BRAINERD-CROW WING COUNTY REGIONAL,MODIFIED BRAINERD,MODIFIED MN,MODIFIED USA,MODIFIED 46.39785806,MODIFIED -94.1372275
MODIFIED BRL,MODIFIED BURLINGTON MUNICIPAL,MODIFIED BURLINGTON,MODIFIED IA,MODIFIED USA,MODIFIED 40.783225,MODIFIED -91.12550556
MODIFIED BRO,MODIFIED BROWNSVILLE/S.PADRE ISLAND INTERNATIONAL,MODIFIED BROWNSVILLE,MODIFIED TX,MODIFIED USA,MODIFIED 25.90683333,MODIFIED -97.42586111
MODIFIED BRW,MODIFIED WILEY POST WILL ROGERS MEMORIAL,MODIFIED BARROW,MODIFIED AK,MODIFIED USA,MODIFIED 71.2854475,MODIFIED -156.7660019
MODIFIED BRY,MODIFIED SAMUELS,MODIFIED BARDSTOWN,MODIFIED KY,MODIFIED USA,MODIFIED 37.81432167,MODIFIED -85.49963806
MODIFIED BST,MODIFIED BELFAST MUNICIPAL,MODIFIED BELFAST,MODIFIED ME,MODIFIED USA,MODIFIED 44.40966667,MODIFIED -69.01225
MODIFIED BTI,MODIFIED BARTER ISLAND,MODIFIED KAKTOVIK,MODIFIED AK,MODIFIED USA,MODIFIED 70.13390278,MODIFIED -143.5770444
MODIFIED BTL,MODIFIED W K KELLOGG REGIONAL,MODIFIED BATTLE CREEK,MODIFIED MI,MODIFIED USA,MODIFIED 42.30727806,MODIFIED -85.25147972
MODIFIED BTM,MODIFIED BERT MOONEY,MODIFIED BUTTE,MODIFIED MT,MODIFIED USA,MODIFIED 45.95479528,MODIFIED -112.49746
MODIFIED BTN,MODIFIED BRITTON MUNICIPAL,MODIFIED BRITTON,MODIFIED SD,MODIFIED USA,MODIFIED 45.81522222,MODIFIED -97.74313889
MODIFIED BTP,MODIFIED BUTLER CTY,MODIFIED BUTLER,MODIFIED PA,MODIFIED USA,MODIFIED 40.77692611,MODIFIED -79.94972417
MODIFIED BTR,"MODIFIED BATON ROUGE METROPOLITAN, RYAN",MODIFIED BATON ROUGE,MODIFIED LA,MODIFIED USA,MODIFIED 30.53316083,MODIFIED -91.14963444
MODIFIED BTT,MODIFIED BETTLES,MODIFIED BETTLES,MODIFIED AK,MODIFIED USA,MODIFIED 66.91528667,MODIFIED -151.5280556
MODIFIED BTV,MODIFIED BURLINGTON INTERNATIONAL,MODIFIED BURLINGTON,MODIFIED VT,MODIFIED USA,MODIFIED 44.47300361,MODIFIED -73.1503125
MODIFIED BTY,MODIFIED BEATTY,MODIFIED BEATTY,MODIFIED NV,MODIFIED USA,MODIFIED 36.86105722,MODIFIED -116.7870036
MODIFIED BUB,MODIFIED CRAM,MODIFIED BURWELL,MODIFIED NE,MODIFIED USA,MODIFIED 41.77669444,MODIFIED -99.14975
